-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
3.13661,-2.87978,4,2387,-1216,5.404,4332.85,4.33285,
3.46524,-3.65775,5,2386,-1214,5.436,4358.52,4.35852,
3.6612,-4.28962,5,2382,-1209,5.467,4384.74,4.38474,
3.92432,-4.62162,6,2380,-1205,5.497,4409.73,4.40973,
3.45251,-4.35196,5,2379,-1203,5.53,4435.2,4.4352,
2.96196,-3.81522,4,2378,-1200,5.563,4462.51,4.46251,
2.77419,-3.85484,4,2376,-1196,5.593,4489.7,4.4897,
2.38378,-3.38919,4,2375,-1195,5.625,4516.97,4.51697,
2.19048,-3.08995,3,2374,-1194,5.657,4544.82,4.54482,
2.21925,-2.82353,3,2373,-1191,5.697,4580.48,4.58048,
2.1016,-2.48663,3,2371,-1189,5.732,4606.24,4.60624,
1.96133,-2.16022,2,2371,-1189,5.765,4632.84,4.63284,
1.7663,-2.31522,2,2369,-1187,5.799,4659.52,4.65952,
1.77838,-2.51892,3,2368,-1187,5.851,4692.78,4.69278,
1.84066,-2.64286,3,2367,-1186,5.895,4724.35,4.72435,
2.48315,-3.6236,4,2364,-1183,5.939,4754.01,4.75401,
2.56354,-3.79006,4,2364,-1183,5.987,4784.42,4.78442,
2.82222,-3.52222,4,2362,-1182,6.034,4815.46,4.81546,
2.69945,-3.78142,4,2362,-1182,6.08,4844.7,4.8447,
3.42778,-4.25556,5,2361,-1181,6.127,4875.08,4.87508,
3.7377,-4.76503,6,2360,-1179,6.173,4904.67,4.90467,
3.93443,-5.03825,6,2359,-1175,6.221,4935.63,4.93563,
3.8427,-4.47191,5,2356,-1170,6.267,4965.75,4.96575,
3.46995,-3.90164,5,2356,-1168,6.317,4998.05,4.99805,
3.19149,-3.26064,4,2354,-1167,6.361,5028.57,5.02857,
3.19895,-3.31937,4,2354,-1167,6.407,5058.24,5.05824,
4.96154,-6.12088,7,2351,-1166,6.454,5087.8,5.0878,
5.76216,-7.92973,9,2348,-1160,6.5,5116.39,5.11639,
7.44324,-11.9946,14,2344,-1151,6.549,5146.63,5.14663,
8.54891,-14.8533,17,2338,-1133,6.596,5178.19,5.17819,
8.58919,-17.0973,19,2330,-1105,6.642,5208.96,5.20896,
7.34066,-17.489,18,2323,-1073,6.689,5239.85,5.23985,
5.32597,-16.2099,17,2315,-1041,6.735,5269.69,5.26969,
3.6612,-15.2568,15,2313,-1033,6.783,5299.34,5.29934,
0.854749,-13.419,13,2313,-1000,6.828,5328.9,5.3289,
-0.478261,-12.3043,12,2313,-982,6.863,5359.45,5.35945,
-2.79474,-12.7316,13,2314,-962,6.907,5389.99,5.38999,
-5.05587,-14.8939,15,2318,-940,6.953,5419.46,5.41946,
-6.86264,-16.8022,18,2325,-908,7,5449.38,5.44938,
-11.8895,-21.7733,24,2335,-873,7.048,5479.43,5.47943,
-14.5707,-23.2717,27,2352,-838,7.098,5512.39,5.51239,
-16.9667,-25.3611,30,2367,-813,7.134,5536.48,5.53648,
-19.5914,-27.6452,33,2383,-789,7.166,5560.41,5.56041,
-19.2842,-26.3115,32,2403,-762,7.197,5584.6,5.5846,
-19.5272,-26.3098,32,2433,-732,7.231,5612.43,5.61243,
-18.8077,-27.2363,33,2452,-711,7.258,5636.36,5.63636,
-18.2727,-27.8984,33,2470,-684,7.29,5660.92,5.66092,
-16.7159,-27.7841,32,2490,-657,7.325,5688.36,5.68836,
-14.7586,-23.9195,28,2533,-594,7.387,5747.35,5.74735,
-12.8837,-21.0058,24,2551,-571,7.423,5777.59,5.77759,
-11.4452,-15.9932,19,2566,-544,7.464,5804,5.804,
-8.30303,-11.1152,13,2578,-524,7.495,5830.52,5.83052,
-5.70909,-8.09697,9,2585,-513,7.527,5857.46,5.85746,
-3.55195,-4.04545,5,2588,-507,7.559,5883.92,5.88392,
-0.909091,0.487013,1,2588,-507,7.591,5911.6,5.9116,
-0.103226,1.8129,1,2588,-507,7.62,5937.47,5.93747,
0.29932,3.06122,3,2588,-507,7.65,5962.28,5.96228,
0.515337,3.05521,3,2588,-507,7.682,5988.22,5.98822,
0.206061,2.6,2,2588,-507,7.714,6013.59,6.01359,
-1.30952,0.732143,1,2587,-510,7.746,6040.46,6.04046,
-3.16092,-1.85632,3,2587,-511,7.777,6067.92,6.06792,
-5.67066,-6.33533,8,2586,-512,7.81,6096.72,6.09672,
-8.88372,-11.2907,14,2586,-512,7.841,6125.01,6.12501,
-12.2743,-16.4,20,2593,-502,7.873,6152.02,6.15202,
-15.1136,-22.0682,26,2605,-485,7.905,6181.35,6.18135,
-19.0056,-26.3427,32,2624,-454,7.949,6208.35,6.20835,
-20.6561,-28.2169,34,2638,-422,7.98,6234.18,6.23418,
-20.612,-27.7923,34,2653,-381,8.012,6262.25,6.26225,
-21.8571,-26.1607,34,2680,-332,8.047,6293.62,6.29362,
-22.8647,-22.3529,31,2716,-287,8.087,6319.14,6.31914,
-21.1718,-17.184,27,2742,-258,8.118,6344.64,6.34464,
-18.2236,-11.0559,21,2772,-234,8.15,6370.26,6.37026,
-15.6442,-5.96319,16,2796,-217,8.183,6396.42,6.39642,
-11.4821,-2.51786,11,2819,-209,8.216,6424.25,6.42425,
-8.6875,-1.08523,8,2832,-208,8.245,6451.41,6.45141,
-8.34659,-1.125,8,2838,-208,8.276,6477.43,6.47743,
-8.81768,-2.39779,9,2844,-207,8.308,6504.36,6.50436,
-10.1517,-4.83708,11,2853,-207,8.338,6531.38,6.53138,
-12.0678,-6.97175,13,2874,-204,8.385,6573.66,6.57366,
-13.5843,-9.95506,16,2889,-197,8.417,6601.36,6.60136,
-15.4407,-13.9774,20,2909,-184,8.45,6629.3,6.6293,
-16.8187,-15.9396,23,2930,-168,8.481,6657.56,6.65756,
-17.8852,-16.1093,24,2956,-147,8.514,6688.93,6.68893,
-18.2514,-15.8087,24,2976,-131,8.557,6716.86,6.71686,
-18.4489,-14.5852,23,2997,-117,8.587,6742.36,6.74236,
-17.2023,-12.3353,21,3018,-102,8.619,6768.87,6.76887,
-14.6294,-9.64706,17,3041,-91,8.652,6796.52,6.79652,
-10.9474,-6.80117,12,3059,-86,8.683,6822.36,6.82236,
-7.05325,-4.72781,8,3076,-81,8.72,6855.42,6.85542,
-3.99412,-3.72941,5,3087,-81,8.76,6882.4,6.8824,
-1.75862,-3.05747,3,3091,-80,8.791,6908.64,6.90864,
-0.258621,-2.8046,2,3091,-80,8.82,6934.08,6.93408,
0.88,-2.90857,3,3091,-80,8.853,6960.35,6.96035,
1.125,-3.00568,3,3091,-80,8.884,6986.16,6.98616,
1.11494,-3.31034,3,3091,-80,8.916,7012.19,7.01219,
1.47701,-3.45402,3,3091,-80,8.947,7037.82,7.03782,
1.67901,-3.98765,4,3090,-79,8.978,7064.75,7.06475,
1.27485,-5.49123,5,3089,-78,9.008,7090.14,7.09014,
0.784091,-6.88068,6,3087,-76,9.055,7132.04,7.13204,
0.382022,-8.30899,8,3087,-74,9.089,7161.18,7.16118,
0.318182,-8.54545,8,3087,-72,9.12,7189.19,7.18919,
0.60355,-8.79882,8,3087,-71,9.152,7215.93,7.21593,
0.722892,-8.58434,8,3087,-69,9.185,7246.22,7.24622,
0.656627,-8.18675,8,3088,-67,9.227,7272.17,7.27217,
0.484848,-8.15152,8,3088,-67,9.259,7298.93,7.29893,
0.295181,-8,8,3088,-66,9.29,7326.14,7.32614,
0.417647,-7.24118,7,3088,-65,9.321,7351.88,7.35188,
0.342857,-7.16,7,3088,-60,9.353,7379.11,7.37911,
0.346821,-6.99422,7,3088,-56,9.392,7413.3,7.4133,
0.41573,-6.52247,6,3088,-54,9.429,7439.49,7.43949,
0.848837,-6.98256,7,3088,-54,9.461,7465.34,7.46534,
0.87574,-9.47929,9,3088,-54,9.493,7491.35,7.49135,
0.413408,-11.8827,11,3088,-52,9.525,7519.58,7.51958,
0.0340909,-15.483,15,3088,-46,9.555,7545.93,7.54593,
0.927374,-20.1508,20,3088,-33,9.586,7571.9,7.5719,
0.586022,-22.1344,22,3088,-13,9.618,7597.93,7.59793,
1.55676,-21.3676,21,3093,13,9.649,7624.32,7.62432,
2.26257,-21.0335,21,3097,40,9.68,7652.18,7.65218,
3.39227,-21.0608,21,3102,78,9.729,7695.18,7.69518,
3.51913,-19.6066,19,3104,109,9.761,7724.47,7.72447,
3.29885,-18.1149,18,3107,127,9.807,7753.21,7.75321,
2.96067,-16.6348,16,3111,145,9.838,7780.68,7.78068,
3.26901,-14.8538,15,3111,160,9.868,7808.3,7.8083,
3.39444,-13.1333,13,3101,180,9.9,7836.71,7.83671,
3.375,-10.9886,11,3102,189,9.934,7865.62,7.86562,
3.93855,-10.2235,10,3102,201,9.977,7893.85,7.89385,
4.61667,-10.4667,11,3102,213,10.013,7923.84,7.92384,
5.16201,-12.2905,13,3102,221,10.054,7951,7.951,
4.75978,-13.8715,14,3103,233,10.087,7978.74,7.97874,
4.25424,-17.0056,17,3103,245,10.118,8006.36,8.00636,
3.94382,-20.0225,20,3102,265,10.152,8036.58,8.03658,
2.54839,-22.9677,23,3092,259,10.191,8059.78,8.05978,
0.827027,-24.4108,24,3092,278,10.221,8082.85,8.08285,
0.589474,-24.2737,24,3091,305,10.253,8106.56,8.10656,
0.146739,-23.2609,23,3088,319,10.286,8131.48,8.13148,
0.821229,-21.4916,21,3089,341,10.319,8157.06,8.15706,
1.79235,-20.0874,20,3090,355,10.351,8184.07,8.18407,
2.0578,-15.9942,16,3090,378,10.402,8231.73,8.23173,
2.95906,-11.6491,12,3090,384,10.442,8257.24,8.25724,
4.14368,-8.21839,9,3090,390,10.474,8282.43,8.28243,
5.48,-6.34857,8,3090,394,10.507,8308.18,8.30818,
5.84153,-4.29508,7,3088,395,10.539,8335.34,8.33534,
6.08989,-3.44382,6,3085,397,10.57,8362.11,8.36211,
